0;27;00:01:31.7
0;21;00:01:33.6
0;201;00:01:36.2
0;100;00:01:36.9
0;37;00:01:37.0
0;23;00:01:37.7
0;101;00:01:37.9
0;22;00:01:38.2
0;109;00:01:39.3
0;25;00:01:40.5
0;203;00:01:42.6
0;2;00:01:42.8
0;10;00:01:43.0
0;202;00:01:46.9
0;33;00:01:47.6
0;32;00:01:48.3
0;17;00:01:48.7
0;50;00:01:49.3
0;208;00:01:50.2
0;31;00:01:50.4
0;13;00:01:51.9
0;34;00:01:52.4
0;19;00:01:52.6
0;200;00:01:53.9
0;11;00:01:54.2
0;4;00:01:54.8
0;206;00:01:56.3
0;185;00:01:56.8
0;35;00:01:57.2
0;1;00:01:59.0
0;29;00:01:59.4
0;204;00:01:59.7
0;36;00:02:02.5
0;12;00:02:02.7
0;104;00:02:04.8
0;102;00:02:05.3
0;15;00:02:05.7
0;205;00:02:06.5
0;107;00:02:08.8
0;26;00:02:09.3
0;16;00:02:11.2
0;52;00:02:11.6
0;3;00:02:12.8
0;49;00:02:13.2
0;30;00:02:16.3
0;51;00:02:20.0
0;53;00:02:22.5
0;105;00:02:23.8
0;18;00:02:24.3
0;40;00:02:26.0
0;46;00:02:27.8
0;28;00:02:29.8
0;41;00:02:30.7
0;39;00:02:32.7
0;42;00:02:35.0
0;44;00:02:37.2
0;6;00:02:44.0
0;47;00:02:45.3
0;43;00:02:52.6
0;188;00:02:53.9
0;189;00:03:11.9
0;48;00:03:20.4
0;186;00:03:24.3
0;20;00:03:31.3
0;7;00:02:10.2




